TIME: 40.65 - SYSTEM: Plan 0
2.397671,0.125985,0.342863,0.125985,0.342863,0.125985
2.728293,0.185038,0.523301,0.185038,0.523301,0.185038
2.547821,0.184359,0.567760,0.184359,0.567760,0.184359
1.591683,0.208462,0.448839,0.208462,0.448839,0.208462
-0.664438,0.134550,0.081216,0.134550,0.081216,0.134550
-0.410117,0.095906,0.046388,0.095906,0.046388,0.095906
-0.504401,0.148145,0.050984,0.148145,0.050984,0.148145
-0.520505,0.163963,0.050478,0.163963,0.050478,0.163963
-0.550770,0.156693,0.045976,0.156693,0.045976,0.156693
-0.818089,0.120068,0.006166,0.120068,0.006166,0.120068
0.322241,0.074395,0.120237,0.074395,0.120237,0.074395
0.614075,0.105965,0.208682,0.105965,0.208682,0.105965
0.221143,0.118982,0.187028,0.118982,0.187028,0.118982
-0.331286,0.117910,0.099889,0.117910,0.099889,0.117910
0.694120,0.099044,0.210941,0.099044,0.210941,0.099044
2.460254,0.012576,0.331707,0.012576,0.331707,0.012576
2.222584,0.015998,0.427731,0.015998,0.427731,0.015998
2.025970,0.015233,0.436319,0.015233,0.436319,0.015233
1.371127,0.008116,0.346821,0.008116,0.346821,0.008116
-0.878733,-0.013691,-0.003319,-0.013691,-0.003319,-0.013691
-0.670218,0.011691,0.022792,0.011691,0.022792,0.011691
-0.890389,0.016058,0.000350,0.016058,0.000350,0.016058
-0.965322,0.012627,-0.019120,0.012627,-0.019120,0.012627
-0.914859,-0.005639,-0.019453,-0.005639,-0.019453,-0.005639
-1.392839,-0.032484,-0.086264,-0.032484,-0.086264,-0.032484
TIME: 55.56 - SYSTEM: Plan 1
2.719787,0.134542,0.388684,0.134542,0.388684,0.134542
2.955399,0.180554,0.573368,0.180554,0.573368,0.180554
2.865336,0.182339,0.632358,0.182339,0.632358,0.182339
1.686276,0.204682,0.487372,0.204682,0.487372,0.204682
-2.355847,0.120165,-0.143633,0.120165,-0.143633,0.120165
-1.543045,0.107536,0.020771,0.107536,0.020771,0.107536
-1.544962,0.165996,0.028551,0.165996,0.028551,0.165996
-1.297152,0.186349,0.066884,0.186349,0.066884,0.186349
-1.406372,0.180196,0.066243,0.180196,0.066243,0.180196
-1.600108,0.099775,0.038439,0.099775,0.038439,0.099775
-0.292858,0.082413,0.151543,0.082413,0.151543,0.082413
-0.321194,0.125452,0.206431,0.125452,0.206431,0.125452
-0.279421,0.142088,0.233735,0.142088,0.233735,0.142088
-0.643303,0.134883,0.192546,0.134883,0.192546,0.134883
-1.555268,0.080456,0.046829,0.080456,0.046829,0.080456
0.058490,0.009460,0.236608,0.009460,0.236608,0.009460
-0.158777,0.012493,0.297785,0.012493,0.297785,0.012493
-0.322433,0.010828,0.298171,0.010828,0.298171,0.010828
-0.801781,0.000897,0.230178,0.000897,0.230178,0.000897
-2.469585,-0.029940,-0.032008,-0.029940,-0.032008,-0.029940
