TIME: 40.65 - SYSTEM: Plan 0
0.023218,0.000166,0.342979,0.029147,
0.067512,0.003971,0.523480,0.045223,
0.122542,0.008719,0.567953,0.048955,
0.173149,0.013661,0.449034,0.049366,
0.198264,0.017722,0.081344,0.032824,
0.169345,0.015938,0.046477,0.022933,
0.174269,0.018948,0.051123,0.035866,
0.179380,0.022783,0.050632,0.039838,
0.184223,0.026689,0.046124,0.038087,
0.186690,0.030033,0.006279,0.029133,
0.124971,0.019363,0.120305,0.017260,
0.141878,0.021505,0.208780,0.024740,
0.161683,0.024140,0.187138,0.028078,
0.175748,0.026951,0.099999,0.028193,
0.191841,0.029536,0.211033,0.023193,
0.201333,0.028213,0.331715,0.001346,
0.239897,0.028371,0.427742,0.001832,
0.283352,0.028545,0.436328,0.001623,
0.322332,0.028633,0.346825,0.000243,
0.338128,0.028444,-0.003334,-0.003701,
0.324118,0.027229,0.022802,0.002429,
0.325188,0.027541,0.000364,0.003597,
0.324165,0.027862,-0.019109,0.002849,
0.322226,0.027909,-0.019459,-0.001585,
0.316632,0.027403,-0.086295,-0.007867,
TIME: 55.56 - SYSTEM: Plan 1
0.025334,0.000892,0.388805,0.031083,
0.074465,0.004949,0.573555,0.048228,
0.135320,0.010099,0.632567,0.053800,
0.191001,0.015217,0.487560,0.048482,
0.205652,0.019096,-0.143519,0.030229,
0.177356,0.017642,0.020870,0.025935,
0.179880,0.021037,0.028705,0.040421,
0.184852,0.025370,0.067057,0.045379,
0.191556,0.029849,0.066410,0.043874,
0.196713,0.033195,0.038532,0.024338,
0.165932,0.027403,0.151617,0.019241,
0.184159,0.029907,0.206545,0.029704,
0.206404,0.033118,0.233865,0.033750,
0.227666,0.036427,0.192670,0.032168,
0.239095,0.038965,0.046903,0.019393,
0.241233,0.037220,0.236614,0.001129,
0.268343,0.037362,0.297794,0.001657,
0.298292,0.037507,0.298178,0.001260,
0.324558,0.037513,0.230176,-0.000895,
0.333419,0.037068,-0.032037,-0.007396,
0.320113,0.035640,0.032107,0.005417,
0.322316,0.036348,0.013299,0.008453,
0.322685,0.037166,-0.004475,0.007867,
0.322198,0.037588,-0.005165,0.001089,
0.317728,0.037881,-0.077758,0.004484,
TIME: 60.22 - SYSTEM: Plan 2
0.026355,0.000037,0.386612,0.031166,
0.075201,0.004106,0.570167,0.048395,
0.135672,0.009274,0.628384,0.054001,
0.190943,0.014411,0.483579,0.048672,
0.205382,0.018306,-0.144063,0.030364,
0.177189,0.016822,0.018978,0.025833,
0.179471,0.020203,0.025872,0.040397,
0.184150,0.024541,0.064064,0.045398,
0.190602,0.029033,0.064300,0.043933,
0.195625,0.032348,0.037856,0.023679,
0.163114,0.027262,0.036267,0.019210,
0.165392,0.029767,0.011165,0.029715,
0.165881,0.032969,-0.000477,0.033683,
0.166170,0.036290,0.005715,0.032288,
0.164802,0.038947,-0.029975,0.021773,
0.178706,0.037169,0.389429,0.001286,
0.224135,0.037336,0.505020,0.001969,
0.275619,0.037503,0.518413,0.001363,
0.322273,0.037465,0.418330,-0.001788,
0.342563,0.037367,0.018685,-0.000227,
0.327830,0.035656,0.012623,0.001253,
0.327778,0.035819,-0.011643,0.001918,
0.325551,0.035977,-0.031064,0.001340,
0.322463,0.035949,-0.030432,-0.001684,
