1789261291528559,0.200000,0.200000,0.200000,-0.003772,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261306441190,0.200000,0.200000,0.200000,-0.003567,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261311099719,0.200000,0.200000,0.200000,-0.004311,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261384370403,0.200000,0.200000,0.200000,-0.003820,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261388372528,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261391812648,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261395758016,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261401415286,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261406779765,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261410272893,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261413761997,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261417259119,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261420688999,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261424623592,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261429072488,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261433127905,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261439062011,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261442584855,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261446019516,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261451341323,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261455619169,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261460027449,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261464332764,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261468055067,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261471736639,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261475194560,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261478732860,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261483882900,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
1789261489753471,0.200000,0.200000,0.200000,-0.004027,0.200000,0.600000,0.200000,0.000000,0.200000,0.800000,0.200000,0.000000,0.400000,0.800000,0.200000,1.570796,0.400000,0.800000,0.400000,0.000000
